hs코드,품목명,기업명,종목코드,연월,수출금액_usd
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-01,111123176
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-02,115846137
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-03,128508385
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-04,121994124
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-05,135280638
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-06,165413314
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-07,180370071
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-08,133643262
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-09,133125673
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-10,123014212
8507609000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-11,134503465
